mass,sigma
111.92000000,1.91166876
111.93000000,1.90992475
111.94000000,1.90818320
111.95000000,1.90644412
111.96000000,1.90470749
111.97000000,1.90297331
111.98000000,1.90124157
111.99000000,1.89951227
112.00000000,1.89778541
112.01000000,1.89606098
112.02000000,1.89433897
112.03000000,1.89261939
112.04000000,1.89090221
112.05000000,1.88918745
112.06000000,1.88747510
112.07000000,1.88576514
112.08000000,1.88405758
112.09000000,1.88235241
112.10000000,1.88064963
112.11000000,1.87894923
112.12000000,1.87725121
112.13000000,1.87555555
112.14000000,1.87386226
112.15000000,1.87217134
112.16000000,1.87048277
112.17000000,1.86879655
112.18000000,1.86711268
112.19000000,1.86543115
112.20000000,1.86375196
112.21000000,1.86207510
112.22000000,1.86040057
112.23000000,1.85872836
112.24000000,1.85705847
112.25000000,1.85539089
112.26000000,1.85372562
112.27000000,1.85206265
112.28000000,1.85040198
112.29000000,1.84874360
112.30000000,1.84708751
112.31000000,1.84543371
112.32000000,1.84378218
112.33000000,1.84213292
112.34000000,1.84048594
112.35000000,1.83884122
112.36000000,1.83719876
112.37000000,1.83555855
112.38000000,1.83392059
112.39000000,1.83228488
112.40000000,1.83065140
112.41000000,1.82902016
112.42000000,1.82739115
112.43000000,1.82576437
112.44000000,1.82413980
112.45000000,1.82251745
112.46000000,1.82089731
112.47000000,1.81927937
112.48000000,1.81766364
112.49000000,1.81605010
112.50000000,1.81443875
112.51000000,1.81282959
112.52000000,1.81122261
112.53000000,1.80961781
112.54000000,1.80801518
112.55000000,1.80641473
112.56000000,1.80481645
112.57000000,1.80322033
112.58000000,1.80162638
112.59000000,1.80003459
112.60000000,1.79844496
112.61000000,1.79685748
112.62000000,1.79527216
112.63000000,1.79368898
112.64000000,1.79210794
112.65000000,1.79052905
112.66000000,1.78895230
112.67000000,1.78737768
112.68000000,1.78580519
112.69000000,1.78423484
112.70000000,1.78266660
112.71000000,1.78110050
112.72000000,1.77953651
112.73000000,1.77797464
112.74000000,1.77641488
112.75000000,1.77485723
112.76000000,1.77330169
112.77000000,1.77174826
112.78000000,1.77019692
112.79000000,1.76864769
112.80000000,1.76710054
112.81000000,1.76555549
112.82000000,1.76401253
112.83000000,1.76247165
112.84000000,1.76093286
112.85000000,1.75939614
112.86000000,1.75786150
112.87000000,1.75632894
112.88000000,1.75479844
112.89000000,1.75327001
112.90000000,1.75174364
112.91000000,1.75021933
112.92000000,1.74869708
112.93000000,1.74717689
112.94000000,1.74565874
112.95000000,1.74414264
112.96000000,1.74262859
112.97000000,1.74111657
112.98000000,1.73960660
112.99000000,1.73809866
113.00000000,1.73659275
113.01000000,1.73508888
113.02000000,1.73358702
113.03000000,1.73208719
113.04000000,1.73058938
113.05000000,1.72909359
113.06000000,1.72759981
113.07000000,1.72610803
113.08000000,1.72461827
113.09000000,1.72313051
113.10000000,1.72164475
113.11000000,1.72016098
113.12000000,1.71867922
