mass,sigma
113.34000000,166.11820905
113.35000000,165.97263502
113.36000000,165.82725436
113.37000000,165.68206662
113.38000000,165.53707136
113.39000000,165.39226813
113.40000000,165.24765649
113.41000000,165.10323599
113.42000000,164.95900617
113.43000000,164.81496660
113.44000000,164.67111682
113.45000000,164.52745639
113.46000000,164.38398488
113.47000000,164.24070197
113.48000000,164.09760737
113.49000000,163.95470077
113.50000000,163.81198189
113.51000000,163.66945042
113.52000000,163.52710606
113.53000000,163.38494853
113.54000000,163.24297751
113.55000000,163.10119272
113.56000000,162.95959386
113.57000000,162.81818065
113.58000000,162.67695280
113.59000000,162.53591004
113.60000000,162.39505208
113.61000000,162.25437864
113.62000000,162.11388944
113.63000000,161.97358419
113.64000000,161.83346263
113.65000000,161.69352446
113.66000000,161.55376939
113.67000000,161.41419709
113.68000000,161.27480722
113.69000000,161.13559942
113.70000000,160.99657335
113.71000000,160.85772867
113.72000000,160.71906502
113.73000000,160.58058207
113.74000000,160.44227946
113.75000000,160.30415686
113.76000000,160.16621391
113.77000000,160.02845030
113.78000000,159.89086570
113.79000000,159.75345980
113.80000000,159.61623226
113.81000000,159.47918277
113.82000000,159.34231100
113.83000000,159.20561665
113.84000000,159.06909937
113.85000000,158.93275886
113.86000000,158.79659480
113.87000000,158.66060688
113.88000000,158.52479482
113.89000000,158.38915833
113.90000000,158.25369711
113.91000000,158.11841087
113.92000000,157.98329933
113.93000000,157.84836218
113.94000000,157.71359913
113.95000000,157.57900991
113.96000000,157.44459420
113.97000000,157.31035172
113.98000000,157.17628218
113.99000000,157.04238528
114.00000000,156.90866073
114.01000000,156.77510823
114.02000000,156.64172749
114.03000000,156.50851822
114.04000000,156.37548012
114.05000000,156.24261290
114.06000000,156.10991626
114.07000000,155.97738991
114.08000000,155.84503356
114.09000000,155.71284690
114.10000000,155.58082964
114.11000000,155.44898149
114.12000000,155.31730215
114.13000000,155.18579133
114.14000000,155.05444872
114.15000000,154.92327404
114.16000000,154.79226698
114.17000000,154.66142725
114.18000000,154.53075455
114.19000000,154.40024860
114.20000000,154.26990909
114.21000000,154.13973572
114.22000000,154.00972821
114.23000000,153.87988625
114.24000000,153.75020954
114.25000000,153.62069780
114.26000000,153.49135073
114.27000000,153.36216804
114.28000000,153.23314946
114.29000000,153.10429469
114.30000000,152.97560346
114.31000000,152.84707549
114.32000000,152.71871048
114.33000000,152.59050816
114.34000000,152.46246826
114.35000000,152.33459047
114.36000000,152.20687453
114.37000000,152.07932015
114.38000000,151.95192707
114.39000000,151.82469500
114.40000000,151.69762368
114.41000000,151.57071282
